          STOP_NAME           ; STOP_NUMBER ;   POSITION_X  ;   POSITION_Y  ;      DISTANCE      ; Route_A ; Route_B ; Route_C 
                   Pully, gare;      8588445;      2540150.0;      1151300.0;                 0.0;      Yes;         ;      Yes
               Pully, Joliette;      8592182;      2539720.0;      1151257.0;   432.1446517081983;      Yes;         ;      Yes
            Pully, C. F. Ramuz;      8592172;      2539332.0;      1151221.0;     821.81117580284;      Yes;         ;      Yes
         Pully, Pierraz-Portay;      8592193;      2538971.0;      1151206.0;  1183.1226757582108;      Yes;         ;      Yes
               Pully, Métairie;      8592186;      2538767.0;      1151286.0;  1402.2482105550482;      Yes;         ;      Yes
          Lausanne, Montchoisi;      8592077;      2538477.0;      1151406.0;  1716.0953070845526;      Yes;         ;      Yes
     Lausanne, Musée Olympique;      8592084;      2538334.0;      1151239.0;  1935.9543528388722;      Yes;         ;      Yes
              Lausanne, Elysée;      8592039;      2538118.0;      1151378.0;   2192.814236822339;      Yes;         ;      Yes
             Lausanne, Délices;      8592028;      2537789.0;      1151513.0;   2548.434821153449;      Yes;         ;      Yes
    Lausanne, jardin botanique;      8591985;      2537407.0;      1151579.0;  2936.0944656871557;      Yes;         ;      Yes
              Lausanne, Cèdres;      8592005;      2537110.0;      1151830.0;   3324.951765991522;      Yes;         ;      Yes
          Lausanne, Riant-Cour;      8592110;      2536871.0;      1151918.0;   3579.637847275914;      Yes;         ;      Yes
           Lausanne, Batelière;      8591983;      2536637.0;      1152009.0;  3830.7095501816775;      Yes;         ;      Yes
            Lausanne, Figuiers;      8592044;      2536461.0;      1152063.0;  4014.8073502771704;      Yes;         ;      Yes
  Lausanne, Maladière-Figuiers;      8593837;      2536113.0;      1152075.0;   4363.014185362296;      Yes;         ;      Yes
        Lausanne, Bois de Vaux;      8591995;      2535630.0;      1152359.0;   4923.322136403507;      Yes;         ;      Yes
             Lausanne, Sablons;      8592114;      2535323.0;      1152691.0;   5375.509044661586;      Yes;         ;      Yes
   Lausanne, Bourdonnette nord;      8595521;      2534825.0;      1152975.0;   5948.797802618691;      Yes;      Yes;         
         Chavannes-R., Dorigny;      8595602;  2534420.24726;  1153186.97503;   6405.698441577505;      Yes;      Yes;         
       Chavannes-R., Talluchet;      8510422;  2534386.71129;  1153398.27869;    6619.64679518938;      Yes;      Yes;         
            Renens VD, piscine;      8595534;      2534529.0;      1153591.0;    6859.20384543327;      Yes;      Yes;         
             Renens VD, Censuy;      8592209;      2534431.0;      1153812.0;   7100.957852638941;      Yes;      Yes;         
           Renens VD, gare sud;      8588983;      2534082.0;      1154287.0;   7690.386389443871;      Yes;      Yes;         
        Chavannes-R., Glycines;      8593869;      2533869.0;      1154252.0;   7906.242823214097;      Yes;      Yes;         
                         Count;             ;               ;               ;                    ;      225;       13;        5
                     Direction;             ;               ;               ;                    ;       OR;       RO;        R
