          STOP_NAME           ; STOP_NUMBER ;   POSITION_X  ;   POSITION_Y  ;      DISTANCE      ; Route_A ; Route_B ; Route_C ; Route_D 
     Ecublens VD, EPFL Piccard;      8579234;  2533226.62602;  1152482.70215;                 0.0;      Yes;      Yes;      Yes;      Yes
           Ecublens VD, Argand;      8591944;      2533488.0;      1152483.0;   87.09903373568412;         ;      Yes;         ;      Yes
       Ecublens VD, EPFL (bus);      8579233;      2533107.0;      1152679.0;  229.87655508036647;      Yes;      Yes;      Yes;      Yes
            Ecublens VD, Ormet;      8591952;      2532495.0;      1152858.0;   867.5167357465475;      Yes;         ;      Yes;         
      Ecublens VD, Coquerellaz;      8591947;  2532646.40257;  1152941.46273;    910.346524715825;         ;      Yes;         ;      Yes
       Ecublens VD, En Enjalin;      8591949;      2532358.0;      1152927.0;  1020.9116509165101;      Yes;         ;      Yes;         
            Ecublens VD, Motty;      8591951;      2532705.0;      1153108.0;  1136.9591841365243;         ;      Yes;         ;      Yes
        Ecublens VD, Perrettes;      8591954;      2532466.0;      1153147.0;  1265.9912298291563;      Yes;         ;      Yes;         
          Ecublens VD, Cocarde;      8591946;      2532620.0;      1153341.0;   1455.316215970925;         ;      Yes;         ;      Yes
          Ecublens VD, Villars;      8591961;      2532675.0;      1153514.0;   1688.329956445601;      Yes;      Yes;      Yes;      Yes
    Ecublens VD, Larges Pièces;      8592248;  2532232.11857;  1153795.57806;  2213.1443664156886;      Yes;      Yes;      Yes;      Yes
       Echandens, Chocolatière;      8592244;  2531587.78513;  1154297.10699;   3029.659430287051;      Yes;      Yes;      Yes;      Yes
               Echandens, Riaz;      8592243;   2531227.4023;  1154311.99642;  3390.3497119478484;      Yes;      Yes;      Yes;      Yes
             Echandens, centre;      8588875;      2531142.0;      1154096.0;  3622.6168131441455;      Yes;      Yes;      Yes;      Yes
            Echandens, collège;      8595213;  2531135.13246;   1153844.1333;  3874.5771228647236;      Yes;      Yes;         ;         
             Denges, Les Oches;      8588872;  2531178.62831;  1153155.79499;   4564.288307333203;      Yes;      Yes;         ;         
               Denges, village;      8592242;  2531088.48382;  1152835.77612;   4896.761022354196;      Yes;      Yes;         ;         
               Denges, La Pale;      8592239;  2531209.31847;   1152347.6803;   5399.591552594916;      Yes;      Yes;         ;         
       Denges, Sur les Moulins;      8592241;  2531176.04448;  1151922.30311;   5826.268142276983;      Yes;      Yes;         ;         
           Denges, Pierraz-Mur;      8592240;      2530776.0;      1151938.0;   6226.620460035066;      Yes;      Yes;         ;         
          Préverenges, village;      8579230;      2529987.0;      1152190.0;   7054.886721571777;      Yes;      Yes;         ;         
         Préverenges, Capellan;      8588898;      2529954.0;      1152437.0;    7304.08142456524;      Yes;      Yes;         ;         
   Lonay-Préverenges, gare sud;      8595218;      2529592.0;      1152847.0;    7851.02200634721;      Yes;      Yes;         ;         
  Lonay-Préverenges, gare nord;      8511344;  2529438.71944;  1152899.15485;   8012.932655942599;      Yes;      Yes;         ;         
              Lonay, Pressoirs;      8595219;  2529507.31315;  1153105.17853;    8230.07512938391;      Yes;      Yes;         ;         
                   Lonay, parc;      8592254;      2529262.0;      1153429.0;   8636.324912147977;      Yes;      Yes;         ;         
